ticket_line_id,ticket_id,fecha_hora,store_id,caja_id,cajero_id,customer_id,product_id,descripcion_producto,categoria,subcategoria,cantidad,precio_unitario,descuento_pct,descuento_importe,importe_linea,moneda,canal,observaciones
TL-000001,T-500000,13/12/25 11:42,S001,CAJ04,EMP014,c0030,P1065,Sofá Atlas 3 plazas,Muebles,Sofás,1,1192.40,5,€59.62,1132.78,EUR,POS,
TL-000002,T-500000,13/12/25 11:42,S001,CAJ04,EMP014,c0030,P1000,Sofá Aurora 160cm,,Sofás,1,"221,53",25,55.38,166.15,EUR,POS,
TL-000003,T-500001,04/03/25 00:07,S005,CAJ08,EMP001,,P1041,Vela Luna ★,Decoración,Velas,1,124.95,0,0.00,124.95,EUR,POS,
TL-000004,T-500001,04/03/25 00:07,S005,CAJ08,EMP001,,P1045,Sofá Aurora 120cm,Muebles,Sofás,6,173.27,0,"0,00","1039,62",EUR,POS,
TL-000005,T-500001,04/03/25 00:07,S005,CAJ08,EMP001,,P1047,Sofá Atlas 3 plazas,Muebles,Sofás,1,504.32,20,100.86,"403,46",EUR,POS,
TL-000006,T-500001,04/03/25 00:07,S005,CAJ08,EMP001,,PX1090,Armario Sol XL,Muebles,,2,1214.51,0,€0.00,€2429.02,EUR,POS,
TL-000007,T500002,28/07/25 06:00,S001,CAJ06,EMP006,C0081,P1063,Armario Brisa 160cm,,Armarios,1,432.47,0,"0,00","432,47",EUR,POS,
TL-000008,T500002,28/07/25 06:00,S001,CAJ06,EMP006,C0081,P1005,Cuadro Luna ★,Decoración,,1,"176,25",0,0.00 EUR,€176.25,EUR,POS,
TL-000009,T500002,28/07/25 06:00,S001,CAJ06,EMP006,C0081,P1043,Cama Sol 3 plazas,Muebles,,4,"911,93",5,182.39,3465.33,EUR,POS,
TL-000010,T-500003,03/12/25 12:12,S001,CAJ04,EMP011,C0048,P1025,Figura Nórdico ★,Decoración,Figuras,3,€94.52,0,0.00,€283.56,EUR,POS,
TL-000011,T-500003,03/12/25 12:12,S001,CAJ04,EMP011,C0048,P1032,Figura Minimal ★,Decoración,Lamparas mesa,1,,0,"0,00",131.47,EUR,POS,
TL-000012,T-500004,28/05/25 08:46,S001,CAJ03,EMP032,C0042,P1020,Alfombra Zen 200x300,Textil hogar,Alfombras,5,,0,"0,00",587.25,EUR,POS,
TL-000013,T-500005,09/08/25 06:30,S001,CAJ07,EMP028,C0083,P1066,Jarrón Brisa 💠,Iluminación,Lámparas pie,1,80.63,0,0.00,80.63,EUR,POS,
TL-000014,T-500006,23/02/25 17:20,S005,CAJ07,EMP052,C0081,P1005,Cuadro Luna ★,Decoración,Cuadros,1,181.41,40,,108.85,EUR,POS,
TL-000015,T-500007,05/01/2025,S004,CAJ08,EMP071,,P1053,"Aplique Nórdico ""Star""",Iluminación,,1,"230,69",40,€92.28,138.41,EUR,POS,
TL-000016,T-500007,05/01/2025,S004,CAJ08,EMP071,,P1078,Estantería Atlas 160cm,Muebles,Estanterías,1,764.25 EUR,5,38.21,,EUR,POS,
TL-000017,T-500007,05/01/2025,S004,CAJ08,EMP071,,P1066,Jarrón Brisa 💠,Iluminación,,2,90.92,0,0.00,,EUR,POS,
TL-000018,T-500008,23/10/2025,S003,,EMP034,C0082,P1081,"Bombilla Élite ""Star""",Iluminación,,2,398.19,0,0.00,796.38,EUR,POS,
TL-000019,T-500008,23/10/2025,S003,,EMP034,C0082, P1069,Sofá Zen 120cm,Muebles,Sofás,1,"477,31",,0.00,"477,31",EUR,POS,
TL-000020,T-500009,2025-12-27 19:49:36,S002,CAJ01,EM063,C0031,P1083,"Aplique Aurora ""Star""",,,1,357.41,0,0.00,"357,41",EUR,POS,
TL-000021,T-500009,2025-12-27 19:49:36,S002,CAJ01,EM063,C0031,P1012,Sábana Sol 140x200,Textil hogar,Sábanas,1,7.52,10,"0,75",6.77,EUR,POS,
TL-000022,T-500009,2025-12-27 19:49:36,S002,CAJ01,EM063,C0031,P1001,Cuadro Atlas ★,Decoración,Cuadros,1,€28.79,0,"0,00",28.79,EUR,POS,
TL-000023,T-500010 ,06/03/25 03:05,S004,CAJ03,EMP061,C0070,P1022,Armario Aurora 120cm,Muebles,Armarios,1,€769.20,0,€0.00,€769.20,EUR,POS,
TL-000024,T-500011,07/04/25 06:38,S004,CAJ06,EMP067,C0834,P1040,Manta Boreal 140x200,Textil hogar,Mantas,1,33.47,,0.00,€33.47,EUR,POS,
TL-000025,T-500011,07/04/25 06:38,S004,CAJ06,EMP067,C0834, P1040,Manta Boreal 140x200,Textil hogar,Mantas,2,32.30,0,"0,00",64.60,EUR,POS,
TL-000026,T-500011,07/04/25 06:38,S004,CAJ06,EMP067,C0834, P1036,Cortina Aurora 90x200,Textil hogar,Cortinas,1,26.04,0,0.00,"26,04",EUR,POS,
TL-000027,T-500011,07/04/25 06:38,S004,CAJ06,EMP067,C0834,P1060,Cortina Luna 200x300,Textil hogar,Cortinas,1,55.27,25,"13,82",41.45,EUR,POS,
TL-000028,T-500012,25/03/2025,S001,CAJ02,EMP036,,P1035,Manta Brisa Set 2 uds,Textil hogar,,1,202.91,0,0.00,€202.91,EUR,POS,
TL-000029,T-500012,25/03/2025,S001,CAJ02,EMP036,,P1027,Sábana Nórdico 140x200,Textil hogar,Sábanas,1,113.97,0,,113.97,EUR,POS,
TL-000030,T-500012,25/03/2025,S001,CAJ02,EMP036,,P1016,"Aplique Élite ""Star""",Iluminación,Apliques,2,298.97,0,"0,00",597.94,EUR,POS,
TL-000031,T-500013,01/07/25 08:59,S004,CAJ02,EMP046,, P1024,Cojine Vintage ★,Decoración,Cojines,1,199.05,0,0.00 EUR,199.05,EUR,POS,
TL-000032,T-500014,19/04/25 04:13,S001,CAJ04,EMP018,,P1022,Armario Aurora 120cm,Muebles,,1,774.82,0,,774.82,EUR,POS,
TL-000033,T500015,08/07/2025,S005,CAJ02,EMP031,C0001,P1082,Vela Vintage ★,Decoración,Velas,2,€209.34,0,"0,00",418.68,EUR,POS,
TL-000034,T-500016,2025-01-23 17:06:13,S004,CAJ08,EMP038,C0075,P1086,"Lámparas mesa Eco ""Star""",Iluminación,Lámparas mesa,1,"208,67",,0.00 EUR,208.67,EUR,POS,
TL-000035,T-500017,20 de septiembre de 2025 05:26,S001,CAJ02,EMP009,,P1037,"Bombilla Boreal ""Star""",Iluminación,Bombillas,1,"52,62",,13.16,39.46,EUR,POS,
TL-000036,T-500017,20 de septiembre de 2025 05:26,S001,CAJ02,EMP009,,P1067,"Lámparas pie Boreal ""Star""",Iluminación,Lámparas pie,1,,0,0.00,370.59 EUR,EUR,POS,
TL-000037,500018,03/05/25 00:24,S001,CAJ06,EMP027,C0041,P1074,Sábana Vintage Pack 4,Textil hogar,Sábanas,1,96.09,0,€0.00,96.09,EUR,POS,
TL-000038,500018,03/05/25 00:24,S001,CAJ06,EMP027,C0041,P1039,Cuadro Nórdico ★,Decoración,Cuadros,2,215.62,0,0.00,431.24,EUR,POS,
TL-000039,500019,21/02/2025,S005,CAJ02,EMP028,C0021,P1041,Vela Luna ★,Decoración,Velas,1,€113.52,0,"0,00","113,52",EUR,POS,
TL-000040,T-500020,2025-02-22 03:41:02,,CAJ05,EMP014,C0037,P1088,Espejo Élite ★,Decoración,Espejos,1,138.31 EUR,0,,138.31,EUR,POS,
TL-000041,T-500020,2025-02-22 03:41:02,,CAJ05,EMP014,C0037,P1048,Mesa Minimal 160cm,,Mesas,1,469.39,,"187,76",281.63,EUR,POS,
TL-000042,T-500021,14/06/25 12:00,S003,CAJ05,EMP007,C0034,P1007,Figura Boreal ★,Decoración,Figuras,2,"257,79",0,"0,00",,EUR,POS,
TL-000043,T-500022,21/11/25 02:59,,CAJ02,EMP020,C0047,P1081,"Bombilla Élite ""Star""",Iluminación,Bombillas,1,€376.24,0,"0,00",376.24,EUR,POS,
TL-000044,T-500023,2025-12-10 08:43:57,S003,CAJ04,EMP046,,P1088,Espejo Élite ★,Decoración,Espejos,3,153.60,25,"115,20",345.60 EUR,EUR,POS,
TL-000045,T-500023,2025-12-10 08:43:57,S003,CAJ04,EMP046,,P1027,Sábana Nórdico 140x200,Textil hogar,Sábanas,2,"97,06",-5,-9.71,203.83,EUR,POS,
TL-000046,T-500024,2025-06-09 21:26:41,S002,CAJ01,EMP043,c0077,P2469,Producto desconocido,,,1,142.87 EUR,0,"0,00",142.87,EUR,POS,
TL-000047,T-500024,2025-06-09 21:26:41,S002,CAJ01,EMP043,c0077,P1014,Cuadro Zen ★,decoración,Cuadros,1,73.34,,0.00,73.34,EUR,POS,
TL-000048,500025,14/09/2025,S004,CAJ08,EMP030,, P1079,Cuadro Boreal ★,Decoración,Cuadros,1,160.67,0,0.00,160.67,EUR,POS,
TL-000049,500025,14/09/2025,S004,CAJ08,EMP030,,P1070,"Aplique Boreal ""Star""",Iluminación,,1,310.52,0,0.00,310.52,EUR,POS,
TL-000050,500025,14/09/2025,S004,CAJ08,EMP030,,P1063,Armario Brisa 160cm,Muebles,Armarios,1,463.71,0,0.00,463.71,EUR,POS,
TL-000051,T-500026,12/04/25 10:42,S004,CAJ06,EMP015,C0056,P1051,Alfombra Aurora Set 2 uds,Textil hogar,Alfombras,1,"22,99",0,"0,00",22.99,EUR,POS,
TL-000052,T-500027,26 de diciembre de 2025 10:59,S005,CAJ04,,,P1007,Figura Boreal ★,Decoración,Figuras,2,"257,67",0,€0.00,515.34,EUR,POS,
TL-000053,T-500027,26 de diciembre de 2025 10:59,S005,CAJ04,,,P1006,Cortina Élite 200x300,Textil hogar,Cortinas,6,104.79,10,62.87,"565,87",EUR,POS,
TL-000054,T-500028,16/09/25 23:53,S003,CAJ02,EMP039,C0054,P1038,"Lámparas pie Boreal ""Star""",Iluminación,Lámparas pie,1,21.45,0,"0,00",€21.45,EUR,POS,
TL-000055,T-500028,16/09/25 23:53,S003,CAJ02,EMP039,C0054,P1015,"Bombilla Vintage ""Star""",Iluminación,Bombillas,1,€88.46,0,,€88.46,EUR,POS,
TL-000056,T-500029,23/03/25 15:02,S002,CAJ05,EMP001,C0057,P1054,Figura Minimal ★,Decoración,Figuras,1,111.71,15,16.76,€94.95,EUR,POS,
TL-000057,T-500030,14/11/25 20:15,S002,CAJ05,EMP080,,P1070,"Aplique Boreal ""Star""",Iluminación,,2,313.92,0,0.00,627.84,EUR,POS,
TL-000058,T-500030,14/11/25 20:15,S002,CAJ05,EMP080,,P1058,Manta Nórdico 140x200,Textil hogar,Mantas,1,61.48,15,"9,22",52.26,EUR,POS,
TL-000059, T-500031,28/09/25 10:29,S004,CAJ02,EMP074,,P1065,Sofá Atlas 3 plazas,Muebles,Sofás,1,€1012.98,5,50.65,"962,33",EUR,POS,
TL-000060,T-500032,05/08/25 11:23,S001,CAJ04,EMP067,,P1009,Cortina Vintage Pack 4,Textil hogar,Cortinas,1,"22,64",0,€0.00,22.64,EUR,POS,
TL-000061,T-500033,2025-12-19 04:29:55,S005,CAJ08,EMP065,C0034,PX1022,Armario Aurora 120cm,Muebles,Armarios,2,"887,28",15,€266.18,"1508,38",EUR,POS,
TL-000062,T-500033,2025-12-19 04:29:55,S005,CAJ08,EMP065,C0034,p1006,Cortina Élite 200x300,Textil hogar,Cortinas,1,102.84,0,0.00,"102,84",EUR,POS,
TL-000063,T-500033,2025-12-19 04:29:55,S005,CAJ08,EMP065,C0034,P1045,Sofá Aurora 120cm,,Sofás,1,171.20,25,"42,80",128.40,EUR,POS,
TL-000064,T-500033,2025-12-19 04:29:55,S005,CAJ08,EMP065,C0034,P1056,Cortina Luna Set 2 uds,,Cortinas,1,237.80 EUR,0,0.00,"237,80",EUR,POS,
TL-000065,T-500034,02/04/25 01:38,S005,CAJ04,EMP010,C0030,SKU-1019,Vela Aurora ★,Decoración,Velas,2,0.00,0,0.00,0.00,EUR,POS,revisar caja
TL-000066,T-500034,02/04/25 01:38,S005,CAJ04,EMP010,C0030,P1053 ,"Aplique Nórdico ""Star""",Iluminación,,2,210.72,,,"421,44",EUR,POS,
TL-000067,T-500034,02/04/25 01:38,S005,CAJ04,EMP010,C0030,P1085,Sofá Boreal Compact,muebles,Sofás,1,"1209,67",0,€0.00,1209.67,EUR,POS,
TL-000068,T-500034,02/04/25 01:38,S005,CAJ04,EMP010,C0030,P1021,"Bombilla Brisa ""Star""",Iluminación,,4,€329.27,15,€197.56,€1119.52,EUR,POS,
TL-000069,T-500035,01/06/25 06:11,S004,CAJ08,EMP027,,P1037,"Bombilla Boreal ""Star""",Iluminación,Bombillas,1,47.26,0,"0,00",47.26,EUR,POS,
TL-000070,T-500035,01/06/25 06:11,S004,CAJ08,EMP027,,P1011,Vela Eco ★,Decoración,Velas,2,€92.86,0,€0.00,"185,72",EUR,POS,
TL-000071,T-500035,01/06/25 06:11,S004,CAJ08,EMP027,,P1026,Cuadro Vintage ★,Decoración,,1,91.18,0,0.00,91.18,EUR,POS,
TL-000072,T-500036,13/10/25 07:17,S001,CAJ05,EMP054,C0056,P1032,Figura Minimal ★,Decoración,,1,128.98,0,0.00,€128.98,EUR,POS,
TL-000073,T-500037,19/12/25 05:11,S004,CAJ08,EMP080,,P1031 ,Cama Nórdico 3 plazas,Muebles,Camas,1,1224.73,40,489.89,"734,84",EUR,POS,
TL-000074,T-500038,2025-12-08 14:50:20,S001,CAJ06,EMP042,C0011,P1081,"Bombilla Élite ""Star""",Iluminación,Bombillas,2,"375,63",30,,525.88,EUR,POS,
TL-000075,T-500038,2025-12-08 14:50:20,S001,CAJ06,EMP042,C0011,P1017,"Lámparas techo Zen ""Star""",Iluminación,Lámparas techo,4,64.72,0,"0,00",258.88,EUR,POS,
TL-000076, T-500039,07/04/25 00:50,S003,CAJ02,EMP006,C0086,P1040,Manta Boreal 140x200,textil hogar,Mantas,1,32.17,15,4.83,27.34,EUR,POS,
TL-000077, T-500039,07/04/25 00:50,S003,CAJ02,EMP006,C0086,P1060,Cortina Luna 200x300,Textil hogar,Cortinas,1,€55.95,30,"16,78",39.17,EUR,POS,
TL-000078,T-500040,05/03/25 14:24,S003,CAJ03,EMP015,C0087,P1072,"Aplique Aurora ""Star""",Iluminación,Apliques,1,"204,13",0,€0.00,"204,13",EUR,POS,
TL-000079,T-500041,22/08/25 04:14,S002,CAJ04,EMP039,C0069,p1074,Sábana Vintage Pack 4,Textil hogar,Sábanas,2,102.35,0,€0.00,204.70,EUR,POS,
TL-000080,T-500041,22/08/25 04:14,S002,CAJ04,EMP039,C0069,P1041,Vela Luna ★,Decoración,Velas,1,"110,68",0,€0.00,110.68,EUR,POS,
TL-000081,T-500042,2025-05-21 15:50:13,S03,CAJ07,EMP014,C0094,P1056,Cortina Luna Set 2 uds,Textil hogar,Cortinas,1,€202.66,0,0.00 EUR,"202,66",EUR,POS,
TL-000082,T-500043,27/11/25 18:32,S005,CAJ08,EMP076,C0097,P1094,"Bombilla Zen ""Star""",Iluminación,Bombillas,2,"287,71",0,0.00,€575.42,EUR,POS,
TL-000083,T-500043,27/11/25 18:32,S005,CAJ08,EMP076,C0097,P1041,Vela Luna ★,Decoración,Velas,2,119.90,0,€0.00,"239,80",EUR,POS,
TL-000084,T-500043,27/11/25 18:32,S005,CAJ08,EMP076,C0097,P1020,Alfombra Zen 200x300,Textil hogar,Alfombras,1,103.73,40,41.49,,EUR,POS,
TL-000085,T-500043,27/11/25 18:32,S005,CAJ08,EMP076,C0097,P1006,Cortina Élite 200x300,Textil hogar,Cortinas,1,120.86,0,0.00,"120,86",EUR,POS,
TL-000086,T-500044,2025-04-11 08:01:08,S001,CAJ06,EMP028,C0002,P1030,Sofá Vintage XL,Muebles,Sofás,1,"951,10",0,€0.00,951.10,EUR,POS,
TL-000087,T-500045,07/01/25 16:43,S004,CAJ04,EMP063,C0075,P1088,Espejo Élite ★,Decoración,Espejos,3,157.08,0,0.00,"471,24",EUR,POS,
TL-000088,T-500045,07/01/25 16:43,S004,CAJ04,EMP063,C0075,P1099 ,Figura Eco ★,Decoración,Figuras,1,€172.07,0,"0,00",€172.07,EUR,POS,
TL-000089,T-500046,08/10/25 02:51,S005,CAJ08,EMP033,,P1039,Cuadro Nórdico ★,Decoración,Cuadros,5,"259,05",10,129.52,1165.73 EUR,EUR,POS,
TL-000090,T-500047,21/05/25 03:39,S004,CAJ05,EMP025,C0007,P1026,Cuadro Vintage ★,Decoración,Cuadros,4,89.48,0,"0,00","357,92",EUR,POS,
TL-000091,T-500047,21/05/25 03:39,S004,CAJ05,EMP025,C0007,P1067,"Lámparas pie Boreal ""Star""",Iluminación,Lámparas pie,2,325.24,0,"0,00",650.48,EUR,POS,
