product_id,nombre_producto,categoria,subcategoria,marca,proveedor,material,color,precio_venta,coste_unitario,iva_pct,peso_kg,largo_cm,ancho_cm,alto_cm,fecha_alta_catalogo,estado_producto,ean
P1000,Sofá Aurora 160cm,Muebles,Sofás,UrbanHome,,Lino,Beige,221.99,143.47,21,24.63,134.0,13.5,20.3,2022-08-27,Activo,8386379402654
P1001,Cuadro Atlas ★,Decoración,Cuadros,TextilPlus,Prov_Mediterraneo,Metal,Negro,31.63,21.79,21,4.85,97.8,59.7,34.5,2023-01-23,Activo,8495931034131
P1002,Sábana Brisa 90x200,Textil hogar,Sábanas,CasaViva,Prov_Mediterraneo,Algodón,Verde,169.18,106.71,21,5.48,13.2,52.6,34.4,2022-09-08,Activo,7648350305641
P1003,Espejo Atlas ★,Decoración,Espejos,UrbanHome,Prov_Mediterraneo,Lino,Madera natural,264.87,160.81,21,1.19,21.1,60.9,34.6,2024-02-04,Descatalogado,9653287101226
P1004,Cama Sol 120cm,decoración,Camas,CasaViva,Prov_EuroHome,Poliéster,Dorado,1131.94,,21,32.49,153.2,69.1,39.4,2023-10-19,Activo,1462704828148
p1005,Cuadro Luna ★,Decoración,Cuadros,NordicNest,Prov_Sierra,MDF,Dorado,180.29,98.34,21,0.94,46.7,78.9,49.4,2022-09-03,Activo,3911718227824
P1006,Cortina Élite 200x300,Textil hogar,Cortinas,DecoArte,Prov_Sierra,Vidrio,Rojo,113.02,"62,96",21,1.01,30.8,30.4,37.4,2022-08-24,Activo,
P1007,Figura Boreal ★,Decoración,Figuras,DecoArte,Prov_EuroHome,Poliéster,Beige,242.02,103.14,21,0.82,54.6,36.8,30.7,2024-01-17,Activo,1065133387262
P1008,"Bombilla Nórdico ""Star""",Iluminación,Bombillas,Luz&Design,Prov_Atlas,Poliéster,Dorado,28.73,21.54,21,6.7,116.4,74.5,51.7,2022-06-20,Descatalogado,7736026064746
P1009,Cortina Vintage Pack 4,Textil hogar,Cortinas,Luz&Design,Prov_Mediterraneo,Lino,Blanco,21.75,10.34,21,0.45,59.8,74.0,34.2,2022-02-28,Activo,2191361939909
P1010,Cama Sol Compact,Muebles,Camas,UrbanHome,Prov_EuroHome,MDF,Verde,902.67,429.38,21,-3.2,37.5,81.0,60.3,2024-02-09,Activo,0799118384251
P1011,Vela Eco ★,Decoración,Velas,NordicNest,Prov_Sierra,Poliéster,Dorado,92.55,68.81,21,6.47,65.8,55.1,35.5,2023-11-11,Activo,2411824493534
 P1012,Sábana Sol 140x200,Textil hogar,Sábanas,TextilPlus,Prov_Atlas,Metal,Rojo,7.86,5.17,21,5.12,35.1,60.6,35.3,2023-03-14,Activo,1128059826204
P1013,"Lámparas techo Brisa ""Star""",Iluminación,Lámparas techo,NordicNest,Prov_Sierra,Lino,Negro,313.25,220.42,21,3.28,76.4,16.6,56.1,2024-06-04,Activo,2602563421607
P1014,Cuadro Zen ★,Decoración,Cuadros,TextilPlus,Prov_Norte,Cerámica,Azul,68.99,42.36,21,3.22,37.0,10.2,47.5,2022-12-26,Descatalogado,8501429401965
